Composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,compound possible,max ionic char,avg ionic char,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,Yang omega,Yang delta,band center,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,transition metal fraction,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy,gap_AO,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010,EFA
(TiZrHfVNbTaOsIr)C8,22,77,55,53,21.5,22,43,60,17,48.75,4.875,43,47.867,192.217,144.35,128.10297,57.36825,47.867,1941,3306,1365,2605.375,415.875,1941,4,9,5,5.5,1.5,4,4,6,2,5.25,0.75,4,141,175,34,160.25,10.75,141,1.3,2.2,0.9,1.6625,0.26875,1.3,1,2,1,1.875,0.21875,1,0,0,0,0,0,0,2,7,5,3.625,1.53125,2,0,14,14,7,7,0,4,23,19,12.5,8,4,0,1,1,0.125,0.21875,0,0,0,0,0,0,0,3,8,5,6.375,1.53125,3,0,0,0,0,0,0,3,8,5,6.5,1.5,3,13.01,23.195,10.185,17.461875,2.961875,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,211,17,194,FALSE,0.183313517,0.025294541,-2.230495541,-1.857196189,-1.543940241,Ti0.0467075431584451 Zr0.08901432964434781 Hf0.17416653181421163 V0.04970757118277584 Nb0.09065595824983604 Ta0.17656487589631992 Os0.18562216004827986 Ir0.1875610300057836 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Os0.125Ir0.125,0.06230644,1.246864103,0.008139651,4.859375,1.104983438,-0.017288477,128.10297,1024.82376,-4.453391326,0.172835433,0.39140625,5.5,36.125,6.70375,30,1,0,29,0,87.36125,0.818069687,34.17078125,-0.255901178,1.246864103,0.06230644,3.974145022,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,d,Ta,-0.182464,s,V,-0.175968,0.006496,1.875,0,3.625,7,0.15,0,0.29,0.56,0.008139651,0.024531117,0.215864849,0.215864849,0.215864849,47.9488
(TiZrHfVNbTaOsPt)C8,22,78,56,53.125,21.625,22,43,63,20,49.125,5.4375,43,47.867,195.084,147.217,128.461345,57.726625,47.867,1941,3306,1365,2518.175,447.86875,1941,4,10,6,5.625,1.6875,4,4,6,2,5.25,0.75,4,136,175,39,159.625,11.46875,136,1.3,2.28,0.98,1.6725,0.28375,1.3,1,2,1,1.75,0.375,1,0,0,0,0,0,0,2,9,7,3.875,1.84375,2,0,14,14,7,7,0,4,24,20,12.625,8.125,4,0,1,1,0.25,0.375,0,0,0,0,0,0,0,1,8,7,6.125,1.84375,1,0,0,0,0,0,0,2,8,6,6.375,1.6875,2,13.01,23.195,10.185,17.563125,2.860625,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,211,17,194,FALSE,0.213450798,0.027750933,-2.619423172,-2.200547292,-1.807982959,Ti0.046577240803449466 Zr0.08876600194400891 Hf0.17368065078253694 V0.049568899500468395 Nb0.09040305081657052 Ta0.17607230408493696 Os0.18510432068105775 Pt0.1898275313869709 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Os0.125Pt0.125,0.060211275,1.025871234,0.008347276,4.71875,1.104882476,-0.017288477,128.461345,1027.69076,-4.768711973,0.177496877,0.40234375,5.625,42.4375,6.56625,33,2,0,31,0,68.75125,0.792819461,22.77859375,-0.192360817,1.025871234,0.060211275,3.995099349,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,s,Ta,-0.174814,s,Ta,-0.174814,0,1.75,0,3.875,7,0.138613861,0,0.306930693,0.554455446,0.008347276,0.02115061,0.215864849,0.215864849,0.215864849,50.7577
(TiZrHfVNbTaPdAg)C8,22,73,51,45.5,14,22,43,65,22,50,6.75,43,47.867,180.94788,133.08088,107.08312,36.51418,47.867,1234.93,3290,2055.07,2232.6225,462.033125,1234.93,4,11,7,6,2.25,4,4,6,2,5,0.5,4,139,175,36,160.125,10.875,139,1.3,2.2,0.9,1.62875,0.2184375,1.3,0,2,2,1.5,0.625,0,0,0,0,0,0,0,2,10,8,4.5,2.75,2,0,14,14,3.5,5.25,0,4,19,15,9.5,5,4,0,1,1,0.25,0.375,0,0,0,0,0,0,0,0,8,8,5.5,2.75,0,0,0,0,0,0,0,0,8,8,5.75,2.625,0,13.01,23.195,10.185,17.766875,2.656875,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,214.875,15.65625,194,FALSE,0.183313517,0.018918143,-1.40004351,-1.143935074,-0.99594807,Ti0.05587598680352234 Zr0.10648737167912178 Hf0.2083545006906784 V0.05946490445926491 Nb0.10845124329586212 Ta0.21122362702917133 Pd0.12422592841897023 Ag0.1259164376234088 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Pd0.125Ag0.125,0.053006988,1.701317584,-0.001001799,4.03125,1.104481048,-0.017288477,107.08312,856.66496,-6.15305042,0.140051152,0.2984375,6,22.6875,5.67,18,2,0,16,0,44.85625,0.265797847,6.59953125,-0.033144287,1.701317584,0.053006988,3.83604545,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,s,Hf,-0.166465,s,Zr,-0.162391,0.004074,1.5,0,4.5,3.5,0.157894737,0,0.473684211,0.368421053,-0.001001799,0.014773541,0.215864849,0.215864849,0.215864849,45.4787
(TiZrHfVNbTaPdAu)C8,22,79,57,49.5,18.875,22,43,66,23,50.125,6.9375,43,47.867,196.966569,149.099569,118.2204161,50.43580016,47.867,1337.33,3290,1952.67,2245.4225,452.433125,1337.33,4,11,7,6,2.25,4,4,6,2,5.125,0.65625,4,136,175,39,159,12.25,136,1.3,2.54,1.24,1.705,0.3325,1.3,0,2,2,1.5,0.625,0,0,0,0,0,0,0,2,10,8,4.5,2.75,2,0,14,14,5.25,6.5625,0,4,25,21,11.25,7.0625,4,0,1,1,0.25,0.375,0,0,0,0,0,0,0,0,8,8,5.5,2.75,0,0,0,0,0,0,0,0,8,8,5.75,2.625,0,13.01,23.195,10.185,17.813125,2.610625,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,214.875,15.65625,194,FALSE,0.319140971,0.037157055,-2.46372382,-2.072742834,-1.702023356,Ti0.05061202790619088 Zr0.09645542093121269 Hf0.18872586251438386 V0.053862841197134206 Nb0.0982342803439358 Ta0.19132469451033238 Pd0.1125228656439057 Au0.20826200695290437 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Pd0.125Au0.125,0.053294975,0.976602143,-0.001006086,4.015625,1.104514353,-0.017288477,118.2204161,945.763329,-6.086732339,0.158553385,0.3609375,6,39.75,5.7775,18,2,0,16,0,44.72125,0.270790167,6.71765625,-0.034563916,0.976602143,0.053294975,3.963633617,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.625,s,Hf,-0.166465,s,Zr,-0.162391,0.004074,1.5,0,4.5,5.25,0.133333333,0,0.4,0.466666667,-0.001006086,0.013898091,0.215864849,0.215864849,0.215864849,57.2752
(TiZrHfVNbTaPdIr)C8,22,77,55,49.25,18.5625,22,43,62,19,49.375,5.8125,43,47.867,192.217,144.35,117.62672,49.69368,47.867,1828.05,3290,1461.95,2420.63125,400.61875,1828.05,4,10,6,5.75,1.875,4,4,6,2,5.125,0.65625,4,139,175,36,159.625,11.46875,139,1.3,2.2,0.9,1.6625,0.26875,1.3,0,2,2,1.625,0.5625,0,0,0,0,0,0,0,2,10,8,4.125,2.1875,2,0,14,14,5.25,6.5625,0,4,23,19,11,6.75,4,0,1,1,0.125,0.21875,0,0,0,0,0,0,0,0,8,8,5.875,2.1875,0,0,0,0,0,0,0,0,8,8,6,2.25,0,13.01,23.195,10.185,17.501875,2.921875,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,214.875,15.65625,194,FALSE,0.183313517,0.025294541,-2.713919827,-2.286743269,-1.867030649,Ti0.05086748147019656 Zr0.09694225937780124 Hf0.18967841660466261 V0.054134702557378116 Nb0.09873009720920552 Ta0.192290365658415 Pd0.11309080113770067 Ir0.20426587598464022 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Pd0.125Ir0.125,0.057877707,0.952467201,-0.001347754,4.5,1.104748237,-0.017288477,117.62672,941.01376,-5.161002948,0.174852823,0.3953125,5.75,43.9375,6.16875,24,1,0,23,0,67.5125,0.8114183,22.3721875,-0.197763974,0.952467201,0.057877707,3.925941451,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,d,Ti,-0.17001,s,Ti,-0.167106,0.002904,1.625,0,4.125,5.25,0.147727273,0,0.375,0.477272727,-0.001347754,0.01970465,0.215864849,0.215864849,0.215864849,67.4714
(TiZrHfVNbTaPdOs)C8,22,76,54,49.125,18.40625,22,43,62,19,49,5.25,43,47.867,190.23,142.363,117.378345,49.38321125,47.867,1828.05,3306,1477.95,2491.50625,471.49375,1828.05,4,10,6,5.625,1.6875,4,4,6,2,5.125,0.65625,4,139,175,36,160,11,139,1.3,2.2,0.9,1.6625,0.26875,1.3,0,2,2,1.625,0.5625,0,0,0,0,0,0,0,2,10,8,4,2,2,0,14,14,5.25,6.5625,0,4,22,18,10.875,6.59375,4,0,1,1,0.125,0.21875,0,0,0,0,0,0,0,0,8,8,6,2,0,0,0,0,0,0,0,0,8,8,6.125,2.0625,0,13.01,23.195,10.185,17.486875,2.936875,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,211,17,194,FALSE,0.183313517,0.025294541,-2.335378354,-1.953027111,-1.618950859,Ti0.05097511811058504 Zr0.0971473911989473 Hf0.19007978004801482 V0.054249252705002776 Nb0.09893901213209301 Ta0.1926972560398598 Pd0.11333010360641904 Os0.20258208615907813 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Pd0.125Os0.125,0.058867938,1.139156322,0.008451108,4.578125,1.104781756,-0.017288477,117.378345,939.02676,-4.988834322,0.168344969,0.38046875,5.625,37.8125,6.3225,23,1,0,22,0,67.5125,0.8114183,22.3721875,-0.197763974,1.139156322,0.058867938,3.883994585,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,d,Ti,-0.17001,d,Ti,-0.17001,0,1.625,0,4,5.25,0.149425287,0,0.367816092,0.482758621,0.008451108,0.019361804,0.215864849,0.215864849,0.215864849,57.8019
(TiZrHfVNbTaPdPt)C8,22,78,56,49.375,18.71875,22,43,63,20,49.75,6.375,43,47.867,195.084,147.217,117.985095,50.14164875,47.867,1828.05,3290,1461.95,2333.43125,386.4265625,1828.05,4,10,6,5.875,2.0625,4,4,6,2,5.125,0.65625,4,136,175,39,159,12.25,136,1.3,2.28,0.98,1.6725,0.28375,1.3,0,2,2,1.5,0.625,0,0,0,0,0,0,0,2,10,8,4.375,2.5625,2,0,14,14,5.25,6.5625,0,4,24,20,11.125,6.90625,4,0,1,1,0.25,0.375,0,0,0,0,0,0,0,0,8,8,5.625,2.5625,0,0,0,0,0,0,0,0,8,8,5.875,2.4375,0,13.01,23.195,10.185,17.603125,2.820625,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,214.875,15.65625,194,FALSE,0.213450798,0.027750933,-3.118901516,-2.644141111,-2.141897616,Ti0.050712973532800895 Zr0.09664780114810265 Hf0.18910227601206747 V0.05397027056680337 Nb0.09843020849370847 Ta0.19170629137519446 Pd0.11274729235925945 Pt0.20668288651206324 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Pd0.125Pt0.125,0.055386706,0.797853596,-0.00113214,4.265625,1.10464784,-0.017288477,117.985095,943.88076,-5.635671385,0.179412845,0.40625,5.875,50.5625,6.03125,27,2,0,25,0,48.9025,0.229179132,6.3275,-0.02524687,0.797853596,0.055386706,3.946641616,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,s,Hf,-0.166465,s,Hf,-0.166465,0,1.5,0,4.375,5.25,0.134831461,0,0.393258427,0.471910112,-0.00113214,0.01629825,0.215864849,0.215864849,0.215864849,73.6454
(TiZrHfVNbTaPdRe)C8,22,75,53,49,18.25,22,43,62,19,48.625,4.6875,43,47.867,186.207,138.34,116.87547,48.7546175,47.867,1828.05,3459,1630.95,2510.63125,491.7765625,1828.05,4,10,6,5.5,1.5,4,4,6,2,5.125,0.65625,4,139,175,36,160.875,10.125,139,1.3,2.2,0.9,1.625,0.21375,1.3,0,2,2,1.625,0.5625,0,0,0,0,0,0,0,2,10,8,3.875,1.84375,2,0,14,14,5.25,6.5625,0,4,21,17,10.75,6.4375,4,0,1,1,0.125,0.21875,0,0,0,0,0,0,0,0,8,8,6.125,1.84375,0,0,0,0,0,0,0,0,8,8,6.25,1.875,0,13.01,23.195,10.185,17.5575,2.86625,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,211,17,194,FALSE,0.183313517,0.018411127,-1.988247156,-1.648644715,-1.402323533,Ti0.051194446533562595 Zr0.09756538305257724 Hf0.19089762804804122 V0.05448266860445566 Nb0.09936471271516598 Ta0.19352636613996074 Pd0.11381772411268164 Re0.19915107079355487 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Pd0.125Re0.125,0.056965249,1.34589118,-0.001263847,4.421875,1.104714744,-0.017288477,116.87547,935.00376,-5.327662914,0.160393458,0.36484375,5.5,32.25,6.305,22,1,0,21,0,63.5875,0.701727458,18.9378125,-0.158226028,1.34589118,0.056965249,3.788036571,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,d,Ti,-0.17001,d,Ti,-0.17001,0,1.625,0,3.875,5.25,0.151162791,0,0.360465116,0.488372093,-0.001263847,0.018557148,0.215864849,0.215864849,0.215864849,59.7578
(TiZrHfVNbTaPdW)C8,22,74,52,48.875,18.09375,22,43,62,19,48.25,4.125,43,47.867,183.84,135.973,116.579595,48.38477375,47.867,1828.05,3695,1866.95,2540.13125,528.6515625,1828.05,4,10,6,5.375,1.3125,4,4,6,2,5.125,0.65625,4,139,175,36,162.25,8.75,139,1.3,2.36,1.06,1.6825,0.29875,1.3,0,2,2,1.625,0.5625,0,0,0,0,0,0,0,2,10,8,3.75,1.6875,2,0,14,14,5.25,6.5625,0,4,20,16,10.625,6.28125,4,0,1,1,0.125,0.21875,0,0,0,0,0,0,0,0,8,8,6.25,1.6875,0,0,0,0,0,0,0,0,8,8,6.375,1.6875,0,13.01,23.195,10.185,17.731875,2.691875,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,215.375,16.03125,194,FALSE,0.244896158,0.030430576,-1.593576162,-1.302296071,-1.118662084,Ti0.051324376276997694 Zr0.09781300063703258 Hf0.19138211965824722 V0.05462094374234187 Nb0.09961689693638066 Ta0.1940175293969755 Pd0.11410658957941995 W0.19711854377260443 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Pd0.125W0.125,0.058867938,1.705436918,0.008451108,4.578125,1.104781756,-0.017288477,116.579595,932.63676,-4.988834322,0.14766465,0.33359375,5.375,25.75,6.41375,21,1,0,20,0,60.4,0.603702412,16.14875,-0.125507172,1.705436918,0.058867938,3.831548823,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,d,Ti,-0.17001,d,Ti,-0.17001,0,1.625,0,3.75,5.25,0.152941176,0,0.352941176,0.494117647,0.008451108,0.019361804,0.215864849,0.215864849,0.215864849,82.1631
(TiZrHfVNbTaPtAu)C8,22,79,57,53.5,22,22,43,66,23,50.25,7.125,43,47.867,196.966569,149.099569,129.3034161,58.56869613,47.867,1337.33,3290,1952.67,2272.09125,432.4315625,1337.33,4,11,7,6,2.25,4,4,6,2,5.25,0.75,4,136,175,39,158.625,12.71875,136,1.3,2.54,1.24,1.715,0.3475,1.3,1,2,1,1.625,0.46875,1,0,0,0,0,0,0,2,10,8,4.375,2.5625,2,0,14,14,7,7,0,4,25,21,13,8.5,4,0,1,1,0.375,0.46875,0,0,0,0,0,0,0,0,8,8,5.625,2.5625,0,0,0,0,0,0,0,1,8,7,6,2.25,1,13.01,23.195,10.185,17.889375,2.534375,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,214.875,15.65625,194,FALSE,0.319140971,0.039405211,-2.699024117,-2.277600049,-1.858633412,Ti0.04627391278058547 Zr0.08818792528247288 Hf0.17254957887911718 V0.0492460887022833 Nb0.08981431309419706 Ta0.17492565686071504 Pt0.1885913050930231 Au0.19041121930760588 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Pt0.125Au0.125,0.055050553,0.900424006,-0.001121763,4.25,1.104614428,-0.017288477,129.3034161,1034.427329,-5.704707309,0.168752803,0.3828125,6,43.625,6.02125,28,3,0,25,0,45.96,0.286367315,7.43375,-0.039254942,0.900424006,0.055050553,4.07701652,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.625,d,Ti,-0.17001,d,Ti,-0.17001,0,1.625,0,4.375,7,0.125,0,0.336538462,0.538461538,-0.001121763,0.016969635,0.215864849,0.215864849,0.215864849,51
(TiZrHfVNbTaReIr)C8,22,77,55,52.875,21.375,22,43,60,17,48.375,4.3125,43,47.867,192.217,144.35,127.600095,56.865375,47.867,1941,3459,1518,2624.5,435,1941,4,9,5,5.375,1.3125,4,4,6,2,5.25,0.75,4,141,175,34,161.125,9.875,141,1.3,2.2,0.9,1.625,0.21375,1.3,1,2,1,1.875,0.21875,1,0,0,0,0,0,0,2,7,5,3.5,1.375,2,0,14,14,7,7,0,4,23,19,12.375,7.875,4,0,1,1,0.125,0.21875,0,0,0,0,0,0,0,3,8,5,6.5,1.375,3,0,0,0,0,0,0,3,8,5,6.625,1.3125,3,13.01,23.195,10.185,17.5325,2.89125,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,211,17,194,FALSE,0.183313517,0.018411127,-1.888343647,-1.557169363,-1.311120572,Ti0.04689161869354407 Zr0.08936513722815018 Hf0.17485292624586213 V0.049903469899454225 Nb0.09101323553089831 Ta0.17726072225886663 Re0.18241267767081207 Ir0.18830021247241235 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Re0.125Ir0.125,0.060630599,1.484617025,-0.00154336,4.734375,1.104916103,-0.017288477,127.600095,1020.80076,-4.702978697,0.165309672,0.37578125,5.375,30.5625,6.68625,29,1,0,28,0,83.43625,0.781663447,31.71765625,-0.234126618,1.484617025,0.060630599,3.875959751,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,d,Ta,-0.182464,d,Ta,-0.182464,0,1.875,0,3.5,7,0.151515152,0,0.282828283,0.565656566,-0.00154336,0.022871162,0.215864849,0.215864849,0.215864849,55.8883
(TiZrHfVNbTaRePt)C8,22,78,56,53,21.5,22,43,63,20,48.75,4.875,43,47.867,195.084,147.217,127.95847,57.22375,47.867,1941,3459,1518,2537.3,471.775,1941,4,10,6,5.5,1.5,4,4,6,2,5.25,0.75,4,136,175,39,160.5,10.5,136,1.3,2.28,0.98,1.635,0.2275,1.3,1,2,1,1.75,0.375,1,0,0,0,0,0,0,2,9,7,3.75,1.6875,2,0,14,14,7,7,0,4,24,20,12.5,8,4,0,1,1,0.25,0.375,0,0,0,0,0,0,0,1,8,7,6.25,1.6875,1,0,0,0,0,0,0,2,8,6,6.5,1.5,2,13.01,23.195,10.185,17.63375,2.79,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,211,17,194,FALSE,0.213450798,0.021048905,-2.281633548,-1.904340223,-1.597633447,Ti0.04676028870929763 Zr0.08911485109192069 Hf0.1743632133144449 V0.049763704583213594 Nb0.09075833354368804 Ta0.17676426578092094 Re0.18190179204237122 Pt0.19057355093414294 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Re0.125Pt0.125,0.058415028,1.18556899,-0.001351604,4.5625,1.104815302,-0.017288477,127.95847,1023.66776,-5.066494336,0.170382039,0.38671875,5.5,37,6.54875,32,2,0,30,0,64.82625,0.684822713,19.34421875,-0.153856915,1.18556899,0.058415028,3.896396379,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,s,V,-0.175968,s,Ta,-0.174814,0.001154,1.75,0,3.75,7,0.14,0,0.3,0.56,-0.001351604,0.020132992,0.215864849,0.215864849,0.215864849,54.1719
(TiZrHfVNbTaRhIr)C8,22,77,55,49.125,18.65625,22,43,60,17,49,5.25,43,47.867,192.217,144.35,117.1874075,50.02316438,47.867,1941,3290,1349,2471.75,349.5,1941,4,9,5,5.625,1.6875,4,4,6,2,5.125,0.65625,4,141,175,34,160,11,141,1.3,2.28,0.98,1.6725,0.28375,1.3,1,2,1,1.75,0.375,1,0,0,0,0,0,0,2,8,6,3.875,1.84375,2,0,14,14,5.25,6.5625,0,4,23,19,10.875,6.84375,4,0,1,1,0.25,0.375,0,0,0,0,0,0,0,2,8,6,6.125,1.84375,2,0,0,0,0,0,0,3,8,5,6.375,1.6875,3,13.01,23.195,10.185,17.405625,3.018125,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,214.875,15.65625,194,FALSE,0.213450798,0.027750933,-2.465269188,-2.067489554,-1.696221056,Ti0.05105817363525172 Zr0.09730567680661423 Hf0.19038948361409908 V0.05433764289051278 Nb0.09910021688977119 Ta0.19301122435019308 Rh0.10976595330859247 Ir0.20503162850496542 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Rh0.125Ir0.125,0.065371648,1.069991686,0.008000681,5.15625,1.114887286,-0.017288477,117.1874075,937.49926,-4.045552728,0.172835433,0.39140625,5.625,39.9375,6.40125,33,2,0,31,0,79.52375,0.756250685,29.27234375,-0.214066525,1.069991686,0.065371648,3.909282764,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,s,Ta,-0.174814,s,Ta,-0.174814,0,1.75,0,3.875,5.25,0.16091954,0,0.356321839,0.482758621,0.008000681,0.022394602,0.215864849,0.215864849,0.215864849,71.667
